video,frame,case,tp,fp,fn,tn,iou,dice,gt_area,pred_area
LapChol Case 0001 04,9852,TP,12816,19313,432,967439,0.3935997051687602,0.5648676642351852,13248,32129
LapChol Case 0001 04,9886,TP,4814,20631,0,974555,0.1891923757123207,0.31818632472983244,4814,25445
LapChol Case 0001 04,10029,TN,7581,6837,26334,959248,0.18602767962308597,0.31369871516355285,33915,14418
LapChol Case 0001 05,164,TP,0,17869,4895,977236,0.0,0.0,4895,17869
LapChol Case 0001 05,317,TN,0,20988,15219,963793,0.0,0.0,15219,20988
LapChol Case 0001 05,347,TP,5368,7416,792,986424,0.3954036535061874,0.566722972972973,6160,12784
LapChol Case 0001 05,402,TP,4980,37394,83,957543,0.11729514567680241,0.2099626873537534,5063,42374
LapChol Case 0001 05,484,TP,19488,10839,1762,967911,0.6073109165134469,0.7556856738468697,21250,30327
LapChol Case 0001 05,555,TN,0,9375,11616,979009,0.0,0.0,11616,9375
LapChol Case 0001 05,583,TP,812,6318,18253,974617,0.031989914509711226,0.06199656422981485,19065,7130
LapChol Case 0001 05,620,TP,4400,5725,0,989875,0.4345679012345679,0.6058519793459552,4400,10125
LapChol Case 0001 05,644,TN,4070,5305,296,990329,0.4208458277323958,0.5923877447056255,4366,9375
LapChol Case 0001 05,657,TP,3160,34848,869,961123,0.0812819919232451,0.15034374479625093,4029,38008
LapChol Case 0001 05,691,TP,4674,6342,0,988984,0.42429193899782136,0.595793499043977,4674,11016
LapChol Case 0001 05,886,TP,0,14664,39780,945556,0.0,0.0,39780,14664
LapChol Case 0001 05,927,TN,0,29516,6018,964466,0.0,0.0,6018,29516
LapChol Case 0001 05,940,TP,0,29172,45500,925328,0.0,0.0,45500,29172
LapChol Case 0001 05,1040,TP,0,18656,7098,974246,0.0,0.0,7098,18656
LapChol Case 0001 05,1183,TN,130,16570,14882,968418,0.004116268760686467,0.008198789101917256,15012,16700
LapChol Case 0001 05,1195,TP,413,12304,12106,975177,0.016637795592797003,0.03273101917895071,12519,12717
LapChol Case 0001 05,1347,TP,0,32700,11070,956230,0.0,0.0,11070,32700
LapChol Case 0001 05,1469,TP,3200,42898,1616,952286,0.06706626985790334,0.12570216443414384,4816,46098
LapChol Case 0001 05,1532,TP,5440,3185,400,990975,0.602770083102493,0.7521603871413758,5840,8625
LapChol Case 0001 05,1677,TP,7475,35683,115,956727,0.17274050793797519,0.29459289036021125,7590,43158
LapChol Case 0001 05,1800,TP,0,45552,9944,944504,0.0,0.0,9944,45552
LapChol Case 0001 05,1839,TP,60,13467,24160,962313,0.0015920609228646484,0.0031790605875963653,24220,13527
LapChol Case 0001 05,1895,TP,99,15432,10307,974162,0.003831565910674201,0.007633882098932027,10406,15531
LapChol Case 0001 05,2447,TP,6461,10239,182,983118,0.38271531809027365,0.5535706635822302,6643,16700
LapChol Case 0001 05,2708,TN,10101,16024,0,973875,0.38664114832535884,0.557665764920223,10101,26125
LapChol Case 0001 05,2823,TP,12125,5875,2875,979125,0.5808383233532934,0.7348484848484849,15000,18000
LapChol Case 0001 05,2946,TN,0,13659,9261,977080,0.0,0.0,9261,13659
LapChol Case 0001 05,3001,TP,10857,1991,6755,980397,0.5538437994184564,0.7128693368351937,17612,12848
LapChol Case 0001 05,3180,TP,0,11865,19440,968695,0.0,0.0,19440,11865
LapChol Case 0001 05,3316,TP,0,38870,4950,956180,0.0,0.0,4950,38870
LapChol Case 0001 05,3701,TP,0,8625,15276,976099,0.0,0.0,15276,8625
LapChol Case 0001 05,4119,TP,0,8568,13440,977992,0.0,0.0,13440,8568
LapChol Case 0001 05,4389,TP,3045,10527,15159,971269,0.10598308447321708,0.19165407854984895,18204,13572
LapChol Case 0001 05,4806,TP,4752,3873,14044,977331,0.2096254797300278,0.34659567484774445,18796,8625
LapChol Case 0001 05,5185,TN,6556,9048,4994,979402,0.31828332847849305,0.4828754511305885,11550,15604
LapChol Case 0001 05,5484,TP,6720,7722,14736,970822,0.2303105079169237,0.374394116663881,21456,14442
LapChol Case 0001 05,5562,TP,3400,15539,16322,964739,0.09642381100933042,0.1758878456325496,19722,18939
LapChol Case 0001 05,5674,TN,3952,15870,22118,958060,0.09422985216976633,0.17223045410964874,26070,19822
LapChol Case 0001 05,5804,TN,0,12852,5166,981982,0.0,0.0,5166,12852
LapChol Case 0001 05,6676,TP,4029,12613,0,983358,0.24209830549212835,0.3898214890426201,4029,16642
LapChol Case 0001 05,6687,TN,0,14664,11832,973504,0.0,0.0,11832,14664
LapChol Case 0001 05,6724,TP,0,7245,21948,970807,0.0,0.0,21948,7245
LapChol Case 0001 05,6795,TP,0,16600,7632,975768,0.0,0.0,7632,16600
LapChol Case 0001 05,6873,TP,0,17700,15087,967213,0.0,0.0,15087,17700
LapChol Case 0001 05,6963,TN,0,13527,10716,975757,0.0,0.0,10716,13527
LapChol Case 0001 05,7160,TP,10125,5940,7389,976546,0.43169608595548736,0.6030554811042615,17514,16065
LapChol Case 0001 05,7518,TP,10512,2336,16496,970656,0.35823336968375136,0.5274989963869932,27008,12848
LapChol Case 0001 05,7569,TP,0,17596,8019,974385,0.0,0.0,8019,17596
LapChol Case 0001 05,7629,TP,7290,2025,24885,965800,0.2131578947368421,0.351409978308026,32175,9315
LapChol Case 0001 05,7727,TP,9856,2992,0,987152,0.7671232876712328,0.8682170542635659,9856,12848
LapChol Case 0001 05,7879,TP,5022,32192,744,962042,0.1323041256125191,0.23369008841321545,5766,37214
LapChol Case 0001 05,8334,TP,11919,3624,1914,982543,0.6827633614023028,0.8114787581699346,13833,15543
LapChol Case 0001 05,8477,TP,7488,8112,0,984400,0.48,0.6486486486486487,7488,15600
LapChol Case 0001 05,8640,TP,6545,64919,0,928536,0.09158457405127057,0.16780115114922636,6545,71464
LapChol Case 0001 05,8679,TN,5916,2709,1218,990157,0.6010362694300518,0.7508090614886731,7134,8625
LapChol Case 0001 05,8801,TP,9266,2479,164,988091,0.7780670081451003,0.8751829988193625,9430,11745
LapChol Case 0001 05,8974,TP,6322,3053,9658,980967,0.3321599327483844,0.4986787615854861,15980,9375
LapChol Case 0001 05,9021,TP,0,29999,25972,944029,0.0,0.0,25972,29999
LapChol Case 0001 05,9083,TN,17721,4463,15561,962255,0.469492648032852,0.6389860455053546,33282,22184
LapChol Case 0001 05,9295,TP,19539,4749,4815,970897,0.6713740851458613,0.8033797952386826,24354,24288
LapChol Case 0001 05,9359,TP,128,13531,9220,977121,0.005594650115826741,0.011127048289650976,9348,13659
LapChol Case 0001 05,9412,TP,11096,2431,9880,976593,0.4740462254881018,0.6431904472074892,20976,13527
LapChol Case 0001 05,9516,TN,16940,3520,10672,968868,0.5441346524476423,0.7047761690797137,27612,20460
LapChol Case 0001 05,9545,TP,12118,1460,14862,971560,0.4260900140646976,0.5975639824448937,26980,13578
LapChol Case 0001 05,9815,TP,0,37037,10235,952728,0.0,0.0,10235,37037
LapChol Case 0002 02,27,TP,1825,41434,34465,922276,0.023480520817250786,0.04588366918503061,36290,43259
LapChol Case 0002 02,4866,TP,5900,3475,23804,966821,0.17782332198077097,0.3019524552828885,29704,9375
LapChol Case 0002 02,5254,TN,10773,24867,11115,953245,0.2304138594802695,0.37453066332916146,21888,35640
LapChol Case 0002 02,5347,TP,12400,2200,14936,970464,0.4198266522210184,0.5913773368943152,27336,14600
LapChol Case 0002 02,5787,TP,27750,3515,28795,939940,0.46203796203796205,0.6320464639562692,56545,31265
LapChol Case 0002 02,6737,TP,1200,27504,16220,955076,0.026711779894933667,0.05203364842598213,17420,28704
LapChol Case 0002 02,6821,TP,1869,28227,21440,948464,0.036265911207699474,0.06999344630652561,23309,30096
LapChol Case 0002 02,7036,TP,0,26986,12495,960519,0.0,0.0,12495,26986
LapChol Case 0002 02,7346,TP,0,21063,23532,955405,0.0,0.0,23532,21063
LapChol Case 0002 02,8315,TP,5394,1158,2418,991030,0.6013377926421405,0.7510442773600668,7812,6552
LapChol Case 0002 02,9379,TP,0,20944,11349,967707,0.0,0.0,11349,20944
LapChol Case 0002 02,9642,TP,0,16544,15561,967895,0.0,0.0,15561,16544
LapChol Case 0002 02,9848,TP,0,14696,12648,972656,0.0,0.0,12648,14696
LapChol Case 0002 02,9971,TP,0,14696,12750,972554,0.0,0.0,12750,14696
LapChol Case 0002 03,180,TP,0,12717,10057,977226,0.0,0.0,10057,12717
LapChol Case 0002 03,415,TP,0,27072,14300,958628,0.0,0.0,14300,27072
LapChol Case 0002 03,594,TP,0,20826,9588,969586,0.0,0.0,9588,20826
LapChol Case 0002 03,769,TP,0,12616,11875,975509,0.0,0.0,11875,12616
LapChol Case 0002 03,1179,TP,0,11000,3575,985425,0.0,0.0,3575,11000
LapChol Case 0002 03,2096,TN,0,16016,8036,975948,0.0,0.0,8036,16016
LapChol Case 0002 03,2134,TP,0,10854,10296,978850,0.0,0.0,10296,10854
LapChol Case 0002 03,2420,TP,0,8625,5460,985915,0.0,0.0,5460,8625
LapChol Case 0002 03,2532,TP,0,9375,6230,984395,0.0,0.0,6230,9375
LapChol Case 0002 03,6213,TP,0,40075,8648,951277,0.0,0.0,8648,40075
LapChol Case 0002 03,6684,TP,0,57750,6716,935534,0.0,0.0,6716,57750
LapChol Case 0002 03,6802,TN,0,35568,8343,956089,0.0,0.0,8343,35568
LapChol Case 0002 03,6878,TP,0,51500,6192,942308,0.0,0.0,6192,51500
LapChol Case 0002 03,7003,TN,0,54014,5986,940000,0.0,0.0,5986,54014
LapChol Case 0002 03,7023,TP,0,56940,4970,938090,0.0,0.0,4970,56940
LapChol Case 0002 03,7221,TP,0,58500,8370,933130,0.0,0.0,8370,58500
LapChol Case 0002 03,7390,TN,0,52250,11872,935878,0.0,0.0,11872,52250
LapChol Case 0002 03,7443,TP,6642,58026,0,935332,0.10270922249025793,0.1862852334875894,6642,64668
LapChol Case 0002 03,7620,TP,0,43600,5530,950870,0.0,0.0,5530,43600
LapChol Case 0002 03,7657,TN,0,47276,4104,948620,0.0,0.0,4104,47276
LapChol Case 0002 03,7941,TP,21222,14869,51774,912135,0.24152961930233882,0.3890839421745946,72996,36091
LapChol Case 0002 03,8398,TP,0,51750,6776,941474,0.0,0.0,6776,51750
LapChol Case 0002 03,8636,TP,0,37440,8480,954080,0.0,0.0,8480,37440
LapChol Case 0002 03,8826,TN,0,48807,10981,940212,0.0,0.0,10981,48807
LapChol Case 0002 03,8846,TP,0,46750,9180,944070,0.0,0.0,9180,46750
LapChol Case 0002 03,9557,TP,0,29744,10791,959465,0.0,0.0,10791,29744
LapChol Case 0002 03,9810,TP,0,17600,4575,977825,0.0,0.0,4575,17600
LapChol Case 0002 03,9931,TP,0,18700,5166,976134,0.0,0.0,5166,18700
LapChol Case 0007 01,0,TP,0,7068,27416,965516,0.0,0.0,27416,7068
LapChol Case 0007 01,20,TP,0,12555,10350,977095,0.0,0.0,10350,12555
LapChol Case 0007 01,1091,TP,6726,5100,38702,949472,0.13311431285623812,0.23495301638313482,45428,11826
LapChol Case 0007 01,1271,TP,120,29746,4080,966054,0.003535026218111118,0.0070451476545529265,4200,29866
LapChol Case 0007 01,1704,TP,1440,16032,3285,979243,0.06937418702124584,0.12974726314366805,4725,17472
LapChol Case 0007 01,1988,TP,0,20875,7980,971145,0.0,0.0,7980,20875
LapChol Case 0007 01,3006,TP,5544,2322,672,991462,0.6493323963457485,0.7873881550916063,6216,7866
LapChol Case 0007 01,3185,TN,6300,2400,1260,990040,0.6325301204819277,0.7749077490774908,7560,8700
LapChol Case 0007 01,3199,TP,4828,5297,994,988881,0.4342117096861228,0.6055057377563178,5822,10125
